Id,Name,ConstellationProbable
-1,Deadland,1_2_3
0,Desert,1_2_3
1,Desert,1_2_3
2,Desert,1_2_3
3,Desert,1_2_3
4,Desert,1_2_3
5,Desert,1_2_3
6,Desert,1_2_3
7,Desert,1_2_3
8,Desert,1_2_3
9,Desert,1_2_3
10,Desert,1_2_3
11,Desert,1_2_3
12,Desert,1_2_3
13,Desert,1_2_3
14,Desert,1_2_3
15,Desert,1_2_3
16,Desert,1_2_3
17,Desert,1_2_3
18,Desert,1_2_3
19,Desert,1_2_3
20,Desert,1_2_3
21,Desert,1_2_3
22,Desert,1_2_3
23,Desert,1_2_3
24,Desert,1_2_3
25,Desert,1_2_3
26,Desert,1_2_3
27,Desert,1_2_3
28,Desert,1_2_3
29,Desert,1_2_3
30,Desert,1_2_3
31,Desert,1_2_3
32,Desert,1_2_3
33,Desert,1_2_3
34,Desert,1_2_3
35,Desert,1_2_3
36,Desert,1_2_3
37,Desert,1_2_3
38,Desert,1_2_3
39,Desert,1_2_3
40,Desert,1_2_3
41,Desert,1_2_3
42,Desert,1_2_3
43,Desert,1_2_3
44,Desert,1_2_3
45,Desert,1_2_3
46,Desert,1_2_3
47,Desert,1_2_3
48,Desert,1_2_3
49,Desert,1_2_3
50,Desert,1_2_3
51,Desert,1_2_3
52,Desert,1_2_3
53,Desert,1_2_3
54,Desert,1_2_3
55,Desert,1_2_3
56,Desert,1_2_3
57,Desert,1_2_3
58,Desert,1_2_3
59,Desert,1_2_3
60,Desert,1_2_3
61,Desert,1_2_3
62,Desert,1_2_3
63,Desert,1_2_3
64,Desert,1_2_3
65,Desert,1_2_3
66,Desert,1_2_3
67,Desert,1_2_3
68,Desert,1_2_3
69,Desert,1_2_3
70,Desert,1_2_3
71,Desert,1_2_3
72,Desert,1_2_3
73,Desert,1_2_3
74,Desert,1_2_3
75,Desert,1_2_3
76,Desert,1_2_3
77,Desert,1_2_3
78,Desert,1_2_3
79,Desert,1_2_3
80,Desert,1_2_3
81,Desert,1_2_3
82,Desert,1_2_3
83,Desert,1_2_3
84,Desert,1_2_3
85,Desert,1_2_3
86,Desert,1_2_3
87,Desert,1_2_3
88,Desert,1_2_3
89,Desert,1_2_3
90,Desert,1_2_3
91,Desert,1_2_3
92,Desert,1_2_3
93,Desert,1_2_3
94,Desert,1_2_3
95,Desert,1_2_3
96,Desert,1_2_3
97,Desert,1_2_3
98,Desert,1_2_3
99,Desert,1_2_3
100,Desert,1_2_3
101,Desert,1_2_3
102,Desert,1_2_3
103,Desert,1_2_3
104,Desert,1_2_3
105,Desert,1_2_3
106,Desert,1_2_3
107,Desert,1_2_3
108,Desert,1_2_3
109,Desert,1_2_3
110,Desert,1_2_3
111,Desert,1_2_3
112,Desert,1_2_3
113,Desert,1_2_3
114,Desert,1_2_3
115,Desert,1_2_3
116,Desert,1_2_3
117,Desert,1_2_3
118,Desert,1_2_3
119,Desert,1_2_3
120,Desert,1_2_3
121,Desert,1_2_3
122,Desert,1_2_3
123,Desert,1_2_3
124,Desert,1_2_3
125,Desert,1_2_3
126,Desert,1_2_3
127,Desert,1_2_3
128,Desert,1_2_3
129,Desert,1_2_3
130,Desert,1_2_3
131,Desert,1_2_3
132,Desert,1_2_3
133,Desert,1_2_3
134,Desert,1_2_3
135,Desert,1_2_3
136,Desert,1_2_3
137,Desert,1_2_3
138,Desert,1_2_3
139,Desert,1_2_3
140,Desert,1_2_3
141,Desert,1_2_3
142,Desert,1_2_3
143,Desert,1_2_3
144,Desert,1_2_3
145,Desert,1_2_3
146,Desert,1_2_3
147,Desert,1_2_3
148,Desert,1_2_3
149,Desert,1_2_3
150,Desert,1_2_3
